ts,order_id,position_id,purpose,symbol,side,ordertype,post_only,attempt,fill_size,fill_price,arrival_ref,slip_bps,fees_delta_usd,remaining,reason,exec_era,book
1784674438.268,08d31e7c,c479c32d-d81e-485a-ab6d-f8115bc75988,exit,BTC/USD,sell,limit,0,1,0.0003863753421,66246.5,66246.5,-0.0,0.102384,0,label-mature realization (ML-073),,
1784674468.271,cf6639de,85ba0aca-f7ac-4f68-9bc8-3031d0d267bb,exit,ETH/USD,sell,limit,0,1,0.01083922636,1918.78,1918.79,0.052,0.083192,0,label-mature realization (ML-073),,
1784675810.979,1b2bc867,b21c67ca-85dc-4835-a75a-0bb2390ec555,entry,ETH/USD,buy,limit,1,0,0.005417104723,1917.99,1917.95,0.209,0.025975,0.008832019985,,,
1784675825.98,1b2bc867,b21c67ca-85dc-4835-a75a-0bb2390ec555,entry,ETH/USD,buy,limit,1,0,0.008832019985,1917.99,1917.95,0.209,0.042349,0,,,
1784678044.498,447b3443,b21c67ca-85dc-4835-a75a-0bb2390ec555,exit,ETH/USD,sell,limit,1,1,0.003562281177,1926.56,1926.56,-0.0,0.017157,0,tier 1,,
1784678850.074,f20bbe7c,331b3db0-7a74-4fff-902a-29f0666f42da,exit,ETH/USD,sell,limit,1,1,0.00282659684,1932.2,1931.8,-2.071,0.013654,0,tier 1,,
1784678910.279,8129f4a9,b21c67ca-85dc-4835-a75a-0bb2390ec555,exit,ETH/USD,sell,limit,0,2,0.002671710883,1934.43,1934.86,2.222,0.020673,0,tier 2,,
1784678920.28,9ffafa18,b21c67ca-85dc-4835-a75a-0bb2390ec555,exit,ETH/USD,sell,limit,0,1,0.008015132648,1934.22,1934.39,0.879,0.062012,0,tier 2,,
1784679415.418,5fb9387e,331b3db0-7a74-4fff-902a-29f0666f42da,exit,ETH/USD,sell,limit,0,1,0.008479790521,1935.46,1935.39,-0.362,0.065649,0,label-mature realization (ML-073),,
1784679505.426,bf2b3f42,1471b961-5a10-4c80-8e9a-010e790c2231,entry,ETH/USD,buy,limit,0,0,0.01303152307,1936.85,1937.22,-1.91,0.100960,0,,,
1784679770.447,c991ef9d,1471b961-5a10-4c80-8e9a-010e790c2231,exit,ETH/USD,sell,limit,0,1,0.01303152307,1939.79695,1940.48,3.52,0.101114,0,tier trail,,
1784681226.069,f4423dbe,ae04858b-ac0e-4b88-8d3a-888e27e9e7d1,entry,ETH/USD,buy,limit,1,0,0.01457901112,1937.9,1937.91,-0.052,0.070632,0,,,
1784682939.544,f4c4ab57,6fda837d-52a1-4bbd-b780-809daa730cd3,entry,ETH/USD,buy,limit,1,0,0.004685071512,1932.98,1933.76,-4.034,0.022640,0.009884183452,,,
1784682944.545,f4c4ab57,6fda837d-52a1-4bbd-b780-809daa730cd3,entry,ETH/USD,buy,limit,1,0,0.004449951026,1932.98,1933.76,-4.034,0.021504,0.005434232426,,,
1784682949.545,f4c4ab57,6fda837d-52a1-4bbd-b780-809daa730cd3,entry,ETH/USD,buy,limit,1,0,0.004876583185,1932.98,1933.76,-4.034,0.023566,0.0005576492409,,,
1784682954.545,f4c4ab57,6fda837d-52a1-4bbd-b780-809daa730cd3,entry,ETH/USD,buy,limit,1,0,0.000190053508,1932.98,1933.76,-4.034,0.000918,0.0003675957329,,,
1784682959.546,f4c4ab57,6fda837d-52a1-4bbd-b780-809daa730cd3,entry,ETH/USD,buy,limit,1,0,0.0003675957329,1932.98,1933.76,-4.034,0.001776,0,,,
1784686286.608,134c7cd7,6fda837d-52a1-4bbd-b780-809daa730cd3,exit,ETH/USD,sell,limit,0,1,0.01456925496,1930.12,1929.77,-1.814,0.112482,0,tier trail,,
1784686341.613,0d8dece3,c7e0ee92-a3e4-4df3-9a25-dec3d7da785d,entry,ETH/USD,buy,limit,1,0,0.007416319696,1930.03,1930.04,-0.052,0.035784,0.007254482253,,,
1784686693.449,704e0152,c7e0ee92-a3e4-4df3-9a25-dec3d7da785d,exit,ETH/USD,sell,limit,0,1,0.007416319696,1933.05,1932.68,-1.914,0.057344,0,tier trail,,
1784687615.979,dd1111d5,fe09d6f8-38bc-4662-9c33-3dbd584fa23b,entry,ADA/USD,buy,limit,0,0,138.0110085,0.1745,0.1745,0.0,0.096332,0,,,
1784688910.393,ea20081e,b85a1cc5-e210-4190-a007-9e116affd624,entry,AVAX/USD,sell,limit,1,0,2.458440775,6.6006,6.597,-5.457,0.040568,0.2700721857,,,
1784688920.394,ea20081e,b85a1cc5-e210-4190-a007-9e116affd624,entry,AVAX/USD,sell,limit,1,0,0.2654635784,6.6006,6.597,-5.457,0.004381,0.004608607343,,,
1784689496.234,51022aef,ad34f27b-3fa9-4e8c-b832-12ddb258fd25,entry,ADA/USD,sell,limit,0,0,132.1968015,0.174081,0.174078,-0.172,0.092052,0,,,
1784689606.241,11600911,db469639-1ac1-48e5-a6e4-45581fb27452,entry,DOT/USD,buy,limit,1,0,20.65955352,0.85486,0.8564,-17.982,0.044153,0.3586622716,,,
1784689616.242,ca09be33,ae04858b-ac0e-4b88-8d3a-888e27e9e7d1,exit,ETH/USD,sell,limit,0,1,0.01457901112,1931.76,1932.06,1.553,0.112653,0,label-mature realization (ML-073),,
1784689761.255,323ebb6c,db469639-1ac1-48e5-a6e4-45581fb27452,exit,DOT/USD,sell,limit,0,1,20.65955352,0.8534,0.8539,5.855,0.070523,0,tier trail,,
1784689809.355,13c113dd,b3d11ec7-9bb5-4dd1-8331-ebb7ed15346f,entry,XRP/USD,sell,limit,1,0,22.136968,1.13881,1.139,1.668,0.063025,0,,,
1784690162.452,5ccaa920,ad34f27b-3fa9-4e8c-b832-12ddb258fd25,exit,ADA/USD,buy,limit,0,1,132.1968015,0.173771,0.173742,1.669,0.091888,0,tier trail,,
1784690197.453,963e2043,a47f59d2-20c2-439f-9312-05f0a96fd3c7,entry,DOGE/USD,sell,limit,0,0,429.5676563,0.0732334,0.073236,0.355,0.125835,3.574684227,,,
1784690202.454,963e2043,a47f59d2-20c2-439f-9312-05f0a96fd3c7,entry,DOGE/USD,sell,limit,0,0,3.574684227,0.0732369,0.073236,-0.123,0.001047,0,,,
1784690620.181,265bdc52,ce3d7374-834e-4675-a1aa-365e93bb4a71,entry,LINK/USD,buy,limit,1,0,2.246098648,8.6876875,8.68665,1.194,0.048784,1.404490649,,,
1784690625.181,265bdc52,ce3d7374-834e-4675-a1aa-365e93bb4a71,entry,LINK/USD,buy,limit,1,0,1.332490127,8.6876875,8.68665,1.194,0.028941,0.07200052182,,,
1784693859.482,e5f743ca,ce3d7374-834e-4675-a1aa-365e93bb4a71,exit,LINK/USD,sell,limit,1,1,0.8946471937,8.7245,8.72396,-0.619,0.019513,0,tier 1,,
1784694836.668,be89b707,fe09d6f8-38bc-4662-9c33-3dbd584fa23b,exit,ADA/USD,sell,limit,0,1,138.0110085,0.173398,0.17339,-0.461,0.095723,0,label-mature realization (ML-073),,
1784694976.679,511a7180,8b8f8a90-1d31-4efb-a421-0b504613962d,entry,XRP/USD,sell,limit,1,0,23.56798506,1.14055,1.14051,-0.351,0.067201,0.409154392,,,
1784696720.055,317bfe2f,ce3d7374-834e-4675-a1aa-365e93bb4a71,exit,LINK/USD,sell,limit,0,1,2.683941581,8.71005,8.71,-0.057,0.093509,0,tier 1,,
1784696826.746,053076ed,8b39f777-b3d1-4081-b3b7-f7335307be4c,entry,DOGE/USD,sell,limit,0,0,432.6635382,0.07323819931,0.0732366,-0.218,0.126750,0,,,
1784697583.749,cc80c47a,b3d11ec7-9bb5-4dd1-8331-ebb7ed15346f,exit,XRP/USD,buy,limit,0,1,22.136968,1.13735,1.13742,-0.615,0.100710,0,tier trail,,
1784697613.751,828638c9,a47f59d2-20c2-439f-9312-05f0a96fd3c7,exit,DOGE/USD,buy,limit,1,1,111.0260048,0.0729441,0.0729101,4.663,0.020247,0,tier 1,,
1784697613.751,7a9eee5e,8b39f777-b3d1-4081-b3b7-f7335307be4c,exit,DOGE/USD,buy,limit,1,1,110.903275,0.0729441,0.0729101,4.663,0.020224,0,tier 1,,
1784697633.752,14a5487d,8b8f8a90-1d31-4efb-a421-0b504613962d,exit,XRP/USD,buy,limit,1,1,5.891996265,1.13509,1.13525,-1.409,0.016720,0,tier 1,,
1784697643.752,7c9cd1c7,8d27bc5e-78d9-4006-834e-c70142fc31ab,entry,SOL/USD,sell,limit,1,0,0.3334341603,77.68,77.68,-0.0,0.064753,0,,,
1784697910.58,662fb288,8d27bc5e-78d9-4006-834e-c70142fc31ab,exit,SOL/USD,buy,limit,0,1,0.3334341603,77.6,77.6,0.0,0.103498,0,tier trail,,
1784697940.583,511eb015,b89e8846-20a5-434a-ae86-f88544fae18d,entry,XRP/USD,sell,limit,1,0,24.36342713,1.1340375,1.13326,-6.861,0.069073,0,,,
1784699248.789,fb5aa8d5,b89e8846-20a5-434a-ae86-f88544fae18d,exit,XRP/USD,buy,limit,0,1,24.36342713,1.13402,1.13385,1.499,0.110514,0,tier trail,,
1784699253.79,96a35258,a47f59d2-20c2-439f-9312-05f0a96fd3c7,exit,DOGE/USD,buy,limit,0,2,80.52908392,0.0725493,0.0725353,1.93,0.023369,0,tier 2,,
1784699253.79,f401b7d7,8b39f777-b3d1-4081-b3b7-f7335307be4c,exit,DOGE/USD,buy,limit,0,2,80.44006581,0.0725493,0.0725353,1.93,0.023343,0,tier 2,,
1784699338.905,f3fedadd,e71c51c4-428a-4d88-9637-06ea276c04c9,entry,LINK/USD,sell,limit,1,0,3.190497482,8.64046,8.63875,-1.979,0.068918,0,,,
1784700769.572,c8bcfaac,e71c51c4-428a-4d88-9637-06ea276c04c9,exit,LINK/USD,buy,limit,0,1,3.190497482,8.63833,8.63473,4.169,0.110242,0,tier trail,,
1784700789.573,a6a08c49,e8d9f961-6288-463a-81ea-7dc428f73af9,entry,BTC/USD,sell,limit,1,0,0.000433008316,65928.875,65936.5,1.156,0.071369,4.756815927e-05,,,
1784700799.574,a6a08c49,e8d9f961-6288-463a-81ea-7dc428f73af9,entry,BTC/USD,sell,limit,1,0,4.675643937e-05,65928.875,65936.5,1.156,0.007706,8.117199021e-07,,,
1784701058.73,31d6fe08,8b8f8a90-1d31-4efb-a421-0b504613962d,exit,XRP/USD,buy,limit,1,1,4.418997198,1.13174,1.13173,0.088,0.012503,0,tier 2,,
1784701319.071,1196a2f2,8b8f8a90-1d31-4efb-a421-0b504613962d,exit,XRP/USD,buy,limit,0,1,13.2569916,1.13059,1.13075,-1.415,0.059953,0,tier 2,,
1784701955.64,f6ce91ac,a47f59d2-20c2-439f-9312-05f0a96fd3c7,exit,DOGE/USD,buy,limit,0,2,60.39681294,0.0723479,0.0723034,6.155,0.017478,0,tier 3,,
1784701955.64,2bc0ab7c,8b39f777-b3d1-4081-b3b7-f7335307be4c,exit,DOGE/USD,buy,limit,0,2,60.33004936,0.0723479,0.0723034,6.155,0.017459,0,tier 3,,
