ts,equity,daily_pnl
1783956314,799.85,0.15
1783956332,799.85,0.15
1783956347,799.85,0.15
1783956364,799.85,0.15
1783956379,799.85,0.15
1783956396,799.85,0.15
1783956411,799.86,0.15
1783956428,799.85,0.15
1783956443,799.85,0.15
1783956462,799.85,0.15
1783956477,799.85,0.15
1783956495,799.85,0.15
1783956510,799.86,0.15
1783956536,799.86,0.15
1783956551,799.86,0.15
1783956568,799.86,0.15
1783956583,799.86,0.15
1783956601,799.86,0.15
1783956616,799.86,0.15
1783956633,799.86,0.15
1783956648,799.86,0.15
1783956665,799.86,0.15
1783956680,799.86,0.15
1783956697,799.86,0.15
1783956712,799.86,0.15
1783956729,799.86,0.15
1783956744,799.85,0.15
1783956762,799.85,0.15
1783956777,799.86,0.15
1783956794,799.85,0.15
1783956809,799.85,0.15
1783956827,799.85,0.15
1783956842,799.85,0.15
1783956859,799.85,0.15
1783956874,799.85,0.15
1783956891,799.85,0.15
1783956906,799.84,0.15
1783956923,799.84,0.15
1783956938,799.84,0.15
1783956955,799.84,0.15
1783956970,799.84,0.15
1783956988,799.84,0.15
1783957003,799.84,0.15
1783957020,799.84,0.15
1783957035,799.84,0.15
1783957053,799.84,0.15
1783957068,799.83,0.15
1783957086,799.83,0.15
1783957101,799.83,0.15
1783957119,799.83,0.15
1783957134,799.83,0.15
1783957151,799.83,0.15
1783957166,799.83,0.15
1783957183,799.83,0.15
1783957198,799.83,0.15
1783957215,799.83,0.15
1783957230,799.83,0.15
1783957248,799.83,0.15
1783957263,799.83,0.15
1783957280,799.82,0.15
1783957295,799.82,0.15
1783957312,799.82,0.15
1783957327,799.82,0.15
1783957344,799.82,0.15
1783957359,799.82,0.15
1783957376,799.82,0.15
1783957391,799.83,0.15
1783957408,799.83,0.15
1783957423,799.83,0.15
1783957450,799.83,0.15
1783957465,799.83,0.15
1783957482,799.83,0.15
1783957497,799.83,0.15
1783957515,799.83,0.15
1783957530,799.82,0.15
1783957548,799.82,0.15
1783957563,799.82,0.15
1783957580,799.83,0.15
1783957595,799.83,0.15
1783957613,799.83,0.15
1783957628,799.83,0.15
1783957646,799.83,0.15
1783957661,799.83,0.15
1783957678,799.83,0.15
1783957693,799.83,0.15
1783957711,799.83,0.15
1783957726,799.83,0.15
1783957743,799.83,0.15
1783957758,799.83,0.15
1783957775,799.83,0.15
1783957790,799.83,0.15
1783957808,799.83,0.15
1783957823,799.82,0.15
1783957840,799.83,0.15
1783957855,799.83,0.15
1783957872,799.83,0.15
1783957887,799.83,0.15
1783957904,799.83,0.15
1783957919,799.83,0.15
1783957936,799.82,0.15
1783957951,799.82,0.15
1783957969,799.82,0.15
1783957984,799.82,0.15
1783958001,799.82,0.15
1783958023,799.82,0.15
1783958040,799.82,0.15
1783958055,799.83,0.15
1783958072,799.82,0.15
1783958087,799.82,0.15
1783958104,799.82,0.15
1783958119,799.82,0.15
1783958136,799.82,0.15
1783958151,799.82,0.15
1783958168,799.82,0.15
1783958183,799.82,0.15
1783958200,799.82,0.15
1783958215,799.82,0.15
1783958232,799.82,0.15
1783958247,799.82,0.15
1783958264,799.82,0.15
1783958279,799.82,0.15
1783958296,799.82,0.15
1783958311,799.82,0.15
1783958329,799.82,0.15
1783958344,799.82,0.15
1783958372,799.82,0.15
1783958387,799.82,0.15
1783958404,799.83,0.15
1783958419,799.82,0.15
1783958436,799.82,0.15
1783958451,799.82,0.15
1783958469,799.82,0.15
1783958484,799.82,0.15
1783958501,799.81,0.15
1783958516,799.81,0.15
1783958533,799.81,0.15
1783958548,799.81,0.15
1783958565,799.81,0.15
1783958580,799.81,0.15
1783958597,799.81,0.15
1783958612,799.82,0.15
1783958629,799.82,0.15
1783958644,799.82,0.15
1783958662,799.82,0.15
1783958677,799.82,0.15
1783958693,799.82,0.15
1783958708,799.82,0.15
1783958725,799.82,0.15
1783958740,799.82,0.15
1783958757,799.82,0.15
1783958772,799.81,0.15
1783958789,799.81,0.15
1783958804,799.81,0.15
1783958821,799.81,0.15
1783958836,799.81,0.15
1783958853,799.81,0.15
1783958868,799.81,0.15
1783958885,799.81,0.15
1783958900,799.81,0.15
1783958917,799.81,0.15
1783958932,799.81,0.15
1783958949,799.81,0.15
1783958964,799.82,0.15
1783958981,799.82,0.15
1783958996,799.82,0.15
1783959013,799.81,0.15
1783959028,799.81,0.15
1783959045,799.82,0.15
1783959060,799.82,0.15
1783959076,799.82,0.15
1783959091,799.82,0.15
1783959108,799.82,0.15
1783959123,799.81,0.15
1783959140,799.81,0.15
1783959155,799.81,0.15
1783959171,799.81,0.15
1783959186,799.81,0.15
1783959203,799.81,0.15
1783959218,799.81,0.15
1783959235,799.81,0.15
1783959250,799.81,0.15
1783959277,799.81,0.15
1783959292,799.81,0.15
1783959310,799.81,0.15
1783959325,799.81,0.15
1783959342,799.80,0.15
1783959357,799.80,0.15
1783959374,799.80,0.15
1783959389,799.80,0.15
1783959406,799.80,0.15
1783959421,799.80,0.15
1783959438,799.80,0.15
1783959453,799.80,0.15
1783959470,799.80,0.15
1783959485,799.80,0.15
1783959501,799.79,0.15
1783959516,799.79,0.15
1783959534,799.79,0.15
1783959549,799.78,0.15
1783959567,799.78,0.15
1783959582,799.79,0.15
1783959598,799.78,0.15
1783959613,799.78,0.15
1783959630,799.77,0.15
1783959645,799.77,0.15
1783959662,799.77,0.15
1783959677,799.77,0.15
1783959694,799.77,0.15
1783959709,799.78,0.15
1783959726,799.78,0.15
1783959741,799.77,0.15
1783959758,799.77,0.15
1783959773,799.77,0.15
1783959789,799.77,0.15
1783959804,799.77,0.15
1783959821,799.77,0.15
1783959836,799.77,0.15
1783959853,799.77,0.15
1783959868,799.77,0.15
1783959885,799.77,0.15
1783959900,799.77,0.15
1783959917,799.77,0.15
1783959932,799.77,0.15
1783959949,799.78,0.15
1783959964,799.77,0.15
1783959981,799.77,0.15
1783959996,799.77,0.15
1783960013,799.77,0.15
1783960028,799.77,0.15
1783960045,799.77,0.15
1783960060,799.77,0.15
1783960077,799.77,0.15
1783960092,799.77,0.15
1783960109,799.77,0.15
1783960124,799.77,0.15
1783960141,799.77,0.15
1783960156,799.77,0.15
1783960186,799.78,0.15
1783960201,799.78,0.15
1783960217,799.77,0.15
1783960232,799.77,0.15
1783960250,799.76,0.15
1783960265,799.76,0.15
1783960281,799.76,0.15
1783960296,799.77,0.15
1783960313,799.77,0.15
1783960328,799.77,0.15
1783960344,799.77,0.15
1783960359,799.77,0.15
1783960376,799.77,0.15
1783960391,799.78,0.15
1783960408,799.78,0.15
1783960423,799.77,0.15
1783960440,799.77,0.15
1783960455,799.77,0.15
1783960472,799.77,0.15
1783960487,799.77,0.15
1783960503,799.77,0.15
1783960518,799.77,0.15
1783960535,799.76,0.15
1783960550,799.76,0.15
1783960567,799.76,0.15
1783960582,799.76,0.15
1783960599,799.76,0.15
1783960614,799.76,0.15
1783960629,799.76,0.15
1783960645,799.76,0.15
1783960660,799.76,0.15
1783960677,799.76,0.15
1783960692,799.76,0.15
1783960709,799.76,0.15
1783960724,799.76,0.15
1783960741,799.76,0.15
1783960756,799.76,0.15
1783960772,799.76,0.15
1783960787,799.77,0.15
1783960805,799.77,0.15
1783960820,799.78,0.15
1783960837,799.77,0.15
1783960852,799.77,0.15
1783960868,799.77,0.15
1783960883,799.77,0.15
1783960900,799.78,0.15
1783960915,799.78,0.15
1783960932,799.78,0.15
1783960947,799.78,0.15
1783960963,799.78,0.15
1783960978,799.78,0.15
1783960995,799.78,0.15
1783961010,799.78,0.15
1783961027,799.78,0.15
1783961042,799.78,0.15
1783961058,799.78,0.15
1783961073,799.78,0.15
1783961091,799.78,0.15
1783961109,799.78,0.15
1783961126,799.79,0.15
1783961141,799.79,0.15
1783961157,799.79,0.15
1783961172,799.78,0.15
1783961188,799.79,0.15
1783961203,799.79,0.15
1783961219,799.79,0.15
1783961234,799.79,0.15
1783961250,799.78,0.15
1783961265,799.78,0.15
1783961281,799.79,0.15
1783961296,799.79,0.15
1783961312,799.78,0.15
1783961327,799.78,0.15
1783961343,799.78,0.15
1783961358,799.78,0.15
1783961378,799.78,0.15
1783961393,799.79,0.15
1783961411,799.78,0.15
1783961426,799.78,0.15
1783961442,799.77,0.15
1783961457,799.77,0.15
1783961473,799.77,0.15
1783961488,799.77,0.15
1783961505,799.77,0.15
1783961520,799.77,0.15
1783961536,799.77,0.15
1783961551,799.77,0.15
1783961567,799.77,0.15
1783961582,799.77,0.15
1783961599,799.77,0.15
1783961614,799.77,0.15
1783961630,799.77,0.15
1783961646,799.77,0.15
1783961661,799.77,0.15
1783961677,799.77,0.15
1783961692,799.77,0.15
1783961709,799.77,0.15
1783961724,799.76,0.15
1783961740,799.76,0.15
