position_id,asset,side,ret_1_dir,ret_6_dir,ret_12_dir,ret_48_dir,sigma_bar_pct,vol_percentile,imbalance_dir,spread_bps,depth_log,fv_edge_bps,basis_dir,volume_z,funding_dir,mom_dir,drawdown_pct,regime_bull_quiet,regime_bull_vol,regime_range,regime_bear,regime_crisis,corr_fast,corr_shift,turbulence_pct,sent_dir,sent_fear,fear_greed,dominance_delta,equity_risk_z,hour_sin,hour_cos,weekend,imbalance_delta_dir,other_ret_6_dir,depth_ratio,mtf_align,pd_zone,liq_pocket_pull,fvg_pull,fvg_liq_confluence,poc_dist,va_pos,regime_age,funding_dist,venue_disloc_dir,th_grid,th_metronome,th_clockwork,th_stopzone,th_barclose,opt_pcr_z,opt_oi_pcr_z,opt_iv_skew,manip_suspect,pat_engulf_dir,pat_hammer_dir,pat_marubozu_dir,vol_term,mkt_ret_6_dir,book_touch_share,flow_tox,direction,gate_confidence,label,net_pnl_usd,source,ts,signal_ts,barrier,probe,disp
cand-931a0ce2-7182,BTC,long,1.601013,0.943985,0.648023,0.914761,0.074670,0.206667,0.440798,0.001520,0.878650,-0.823640,-1.103825,0.522866,0.011656,-0.333333,0.267968,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.168000,0.002885,0.000000,0.250000,0.000000,0.000000,0.998848,0.047978,0.000000,0.000000,0.149721,1.281136,1.000000,0.832092,0.951894,0.000000,0.000000,0.017131,0.000000,1.000000,0.271217,-0.010794,0.007000,0.000000,0.000000,0.756000,0.000000,0.000000,0.000000,-0.844731,0.355023,1.000000,-0.115828,0.658824,-0.219573,0.597983,0.614888,0.528966,1.000000,0.873108,0,0.00,candidate,1784613322,1784612400,sl,,SZ-046
cand-931a0ce2-7174,ETH,long,0.030626,-1.829416,-0.342849,1.084682,0.084949,0.130000,0.369510,0.010397,0.757171,-0.070242,-0.357507,-0.788473,-0.035252,-0.333333,0.359573,0.000000,0.000000,1.000000,0.000000,0.000000,-0.032699,-0.031526,0.016000,0.003059,0.000000,0.250000,0.018954,0.000000,0.935135,0.354291,0.000000,-0.088313,-0.225000,0.633303,1.000000,0.705027,0.869747,0.000000,0.000000,0.241291,0.000000,1.000000,0.420873,-0.166326,0.002000,0.000000,0.000000,0.321000,0.000000,0.000000,0.000000,-0.837849,0.176416,0.000000,-0.205593,-0.190476,-0.117906,-1.168558,0.153212,0.574681,1.000000,0.749984,0,0.00,candidate,1784613443,1784608200,sl,,SZ-046
cand-931a0ce2-7179,ETH,long,0.117033,0.082987,0.291725,1.296657,0.084406,0.120000,0.111302,0.005198,0.797199,0.000000,-0.103427,-0.467272,-0.051176,-0.333333,0.359932,0.000000,0.000000,1.000000,0.000000,0.000000,-0.008226,-0.006723,0.020000,0.002682,0.000000,0.250000,0.004765,0.000000,0.994522,0.104528,0.000000,-0.230319,0.113718,1.282648,1.000000,0.767478,0.897409,0.000000,0.000000,0.257624,0.000000,1.000000,0.299574,-0.142938,0.026000,0.000000,0.000000,0.529000,0.000000,0.000000,0.000000,-0.844731,0.064380,0.000000,-0.534713,0.229508,-0.476450,0.789542,0.158276,0.618894,1.000000,0.746544,0,0.00,candidate,1784613443,1784611500,sl,,SZ-046
cand-931a0ce2-7184,ETH,long,-1.606153,1.071993,0.808387,1.680418,0.089395,0.146667,0.157828,0.005189,0.830702,0.000000,0.110802,-0.500280,-0.053936,-0.333333,0.358512,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000099,0.000537,0.168000,0.002885,0.000000,0.250000,0.027400,0.000000,0.999962,0.008727,0.000000,0.000000,0.246509,2.274459,1.000000,0.804788,0.899887,0.000000,0.000000,0.310980,0.046051,1.000000,0.253507,-0.116730,0.012000,0.000000,0.000000,0.204000,0.000000,0.000000,0.000000,-0.844731,0.150568,0.000000,-0.033366,-0.817337,0.157866,1.394184,0.307094,0.630852,1.000000,0.876820,0,0.00,candidate,1784614349,1784613000,sl,,SZ-046
cand-931a0ce2-7187,ETH,long,-1.553746,1.433410,0.945459,1.671592,0.090386,0.150000,1.093219,0.005180,0.741209,-0.172585,-0.727983,-0.183499,-0.051262,-0.333333,0.358512,0.000000,0.000000,1.000000,0.000000,0.000000,-0.011955,-0.011848,0.168000,0.003227,0.000000,0.250000,0.000959,0.000000,0.998630,-0.052336,0.000000,-0.083411,0.186920,0.547954,1.000000,0.822320,0.908903,0.000000,0.000000,0.316289,0.051459,1.000000,0.223080,-0.289988,0.002000,0.000000,0.000000,0.921000,0.030000,0.000000,0.000000,-0.844731,0.256491,0.000000,-0.122387,-0.631737,0.199386,0.556189,0.132663,0.633791,1.000000,1.000000,0,0.00,candidate,1784615407,1784613900,sl,,SZ-046
cand-931a0ce2-7133,ETH,short,-1.378412,-0.691491,0.085812,-0.261554,0.120458,0.300000,0.445248,0.005267,0.865549,0.000000,0.159994,-0.478261,-0.015794,0.333333,0.369345,0.000000,0.000000,1.000000,0.000000,0.000000,0.022240,0.022059,0.212000,-0.005042,0.000000,0.290000,0.000664,0.000000,-0.195090,0.980785,0.000000,-0.000000,-0.051151,2.387190,0.000000,0.580219,0.822861,0.937413,0.000000,0.021649,0.000000,1.000000,0.091815,0.171138,0.022000,0.000000,0.000000,0.508000,0.001000,0.000000,0.000000,-0.798500,0.292522,-0.000000,0.083338,-0.711316,-0.637955,-1.240565,0.057255,0.407067,-1.000000,0.876698,0,0.00,candidate,1784616013,1784588700,sl,,SZ-030: net-Kelly f* <= 0: p 0.56 below 
cand-931a0ce2-7134,ETH,short,0.320181,-0.778157,0.055714,-0.448503,0.120103,0.293333,0.332407,0.005260,0.794393,0.264097,0.603785,-0.308061,-0.015871,0.333333,0.367958,0.000000,0.000000,1.000000,0.000000,0.000000,0.009769,0.009784,0.392000,-0.005042,0.000000,0.290000,0.000664,0.000000,-0.182236,0.983255,0.000000,-0.112841,-0.051151,0.846985,0.000000,0.538240,0.835614,0.978398,0.000000,0.013964,0.000000,1.000000,0.086111,0.168295,0.024000,0.000000,0.000000,0.677000,0.000000,0.000000,0.000000,-0.798500,0.045261,-0.000000,0.025148,0.807692,-0.639907,-1.403985,0.109254,0.392981,-1.000000,0.876698,0,0.00,candidate,1784616013,1784589000,sl,,entered
cand-931a0ce2-7185,ETH,long,0.816644,1.358747,1.016103,1.939511,0.089528,0.146667,0.288767,0.005176,0.777854,-0.057847,-0.606286,0.023007,-0.052529,-0.333333,0.358512,0.000000,0.000000,1.000000,0.000000,0.000000,-0.001197,-0.000306,0.168000,0.002885,0.000000,0.250000,0.027400,0.000000,0.999962,-0.008727,0.000000,0.334821,0.239529,0.995164,1.000000,0.852326,0.924322,0.000000,0.000000,0.325369,0.060713,1.000000,0.244131,-0.072461,0.007000,0.000000,0.000000,0.317000,0.021000,0.000000,0.000000,-0.844731,0.335397,0.000000,0.115235,0.605150,0.166100,0.928396,0.715342,0.629344,1.000000,1.000000,0,0.00,candidate,1784616637,1784613300,sl,,SZ-046
cand-931a0ce2-7186,ETH,long,1.052184,1.843798,1.081081,1.850519,0.089617,0.146667,1.053514,0.005185,0.810234,0.000000,-0.304840,-0.485182,-0.051534,-0.333333,0.358512,0.000000,0.000000,1.000000,0.000000,0.000000,0.021418,0.021668,0.168000,0.003227,0.000000,0.250000,0.000959,0.000000,0.998848,-0.047978,0.000000,0.764747,0.186920,1.543157,1.000000,0.913688,0.955810,0.000000,0.000000,0.343913,0.079638,1.000000,0.225164,-0.287687,0.004000,0.000000,0.000000,0.523000,0.036000,0.000000,0.000000,-0.844731,0.009610,0.000000,-0.073298,0.561358,0.178403,0.820319,0.380923,0.628568,1.000000,0.876820,0,0.00,candidate,1784616637,1784613600,sl,,SZ-046
cand-931a0ce2-7188,ETH,long,-0.879431,-0.359026,1.361822,2.083285,0.090741,0.153333,0.258401,0.005176,0.827833,-0.228660,-0.639650,-0.355018,-0.049993,-0.333333,0.358512,0.000000,0.000000,1.000000,0.000000,0.000000,-0.001542,-0.001336,0.168000,0.002738,0.000000,0.250000,-0.025090,0.000000,0.994522,-0.104528,0.000000,-0.834818,-0.156277,1.711915,1.000000,0.846258,0.921205,0.000000,0.000000,0.323534,0.058841,1.000000,0.199888,-0.460473,0.005000,0.000000,0.000000,0.344000,0.000000,0.000000,0.000000,-0.851800,0.279457,0.000000,0.077880,-0.720930,0.213208,-0.720335,0.404155,0.624538,1.000000,0.876790,0,0.00,candidate,1784616637,1784614500,sl,,SZ-046
